0,SUI
1,CRO
2,BUL
3,RSA
4,URU
5,GER
6,LAT
7,POR
8,TPE
9,SLO
10,NED
11,CHI
12,BAR
13,DEN
14,ESA
15,MON
16,ZIM
17,GUA
18,INA
19,GRE
20,CRC
21,PHI
22,NGR
23,VIE
24,PUR
25,IRI
26,ALG
27,TOG
28,MAD
29,UAE
30,MAS
31,SRI
32,KUW
33,SIN
